Pin Pin_Name Bank
A9 IO_L9P_T1_DQS_16_A9 16
A8 IO_L9N_T1_DQS_16_A8 16
C9 IO_L10P_T1_16_C9 16
B9 IO_L10N_T1_16_B9 16
G11 IO_L11P_T1_SRCC_16_G11 16
F10 IO_L11N_T1_SRCC_16_F10 16
E10 IO_L12P_T1_MRCC_16_E10 16
D10 IO_L12N_T1_MRCC_16_D10 16
C12 IO_L13P_T2_MRCC_16_C12 16
C11 IO_L13N_T2_MRCC_16_C11 16
E11 IO_L14P_T2_SRCC_16_E11 16
D11 IO_L14N_T2_SRCC_16_D11 16
F14 IO_L15P_T2_DQS_16_F14 16
F13 IO_L15N_T2_DQS_16_F13 16
G12 IO_L16P_T2_16_G12 16
F12 IO_L16N_T2_16_F12 16
D14 IO_L17P_T2_16_D14 16
D13 IO_L17N_T2_16_D13 16
E13 IO_L18P_T2_16_E13 16
E12 IO_L18N_T2_16_E12 16
C14 IO_L19P_T3_16_C14 16
C13 IO_L19N_T3_VREF_16_C13 16
B12 IO_L20P_T3_16_B12 16
B11 IO_L20N_T3_16_B11 16
B14 IO_L21P_T3_DQS_16_B14 16
A14 IO_L21N_T3_DQS_16_A14 16
B10 IO_L22P_T3_16_B10 16
A10 IO_L22N_T3_16_A10 16
B15 IO_L23P_T3_16_B15 16
A15 IO_L23N_T3_16_A15 16
A13 IO_L24P_T3_16_A13 16
A12 IO_L24N_T3_16_A12 16
J14 IO_25_16_J14 16
V13 IO_0_VRN_32_V13 32
AE17 IO_L1P_T0_32_AE17 32
AF17 IO_L1N_T0_32_AF17 32
AF14 IO_L2P_T0_32_AF14 32
AF15 IO_L2N_T0_32_AF15 32
AE18 IO_L3P_T0_DQS_32_AE18 32
AF18 IO_L3N_T0_DQS_32_AF18 32
AD15 IO_L4P_T0_32_AD15 32
AE15 IO_L4N_T0_32_AE15 32
AF19 IO_L5P_T0_32_AF19 32
AF20 IO_L5N_T0_32_AF20 32
AD16 IO_L6P_T0_32_AD16 32
AE16 IO_L6N_T0_VREF_32_AE16 32
AA14 IO_L7P_T1_32_AA14 32
AA15 IO_L7N_T1_32_AA15 32
AC14 IO_L8P_T1_32_AC14 32
AD14 IO_L8N_T1_32_AD14 32
Y15 IO_L9P_T1_DQS_32_Y15 32
Y16 IO_L9N_T1_DQS_32_Y16 32
AB14 IO_L10P_T1_32_AB14 32
AB15 IO_L10N_T1_32_AB15 32
AA17 IO_L11P_T1_SRCC_32_AA17 32
AA18 IO_L11N_T1_SRCC_32_AA18 32
AB16 IO_L12P_T1_MRCC_32_AB16 32
AC16 IO_L12N_T1_MRCC_32_AC16 32
AC18 IO_L13P_T2_MRCC_32_AC18 32
AD18 IO_L13N_T2_MRCC_32_AD18 32
AB17 IO_L14P_T2_SRCC_32_AB17 32
AC17 IO_L14N_T2_SRCC_32_AC17 32
AD20 IO_L15P_T2_DQS_32_AD20 32
AE20 IO_L15N_T2_DQS_32_AE20 32
AA19 IO_L16P_T2_32_AA19 32
AA20 IO_L16N_T2_32_AA20 32
AC19 IO_L17P_T2_32_AC19 32
AD19 IO_L17N_T2_32_AD19 32
AB19 IO_L18P_T2_32_AB19 32
AB20 IO_L18N_T2_32_AB20 32
Y17 IO_L19P_T3_32_Y17 32
Y18 IO_L19N_T3_VREF_32_Y18 32
V16 IO_L20P_T3_32_V16 32
V17 IO_L20N_T3_32_V17 32
W18 IO_L21P_T3_DQS_32_W18 32
W19 IO_L21N_T3_DQS_32_W19 32
W15 IO_L22P_T3_32_W15 32
W16 IO_L22N_T3_32_W16 32
V18 IO_L23P_T3_32_V18 32
V19 IO_L23N_T3_32_V19 32
V14 IO_L24P_T3_32_V14 32
W14 IO_L24N_T3_32_W14 32
W13 IO_25_VRP_32_W13 32
U9 IO_0_VRN_33_U9 33
V11 IO_L1P_T0_33_V11 33
W11 IO_L1N_T0_33_W11 33
V8 IO_L2P_T0_33_V8 33
V7 IO_L2N_T0_33_V7 33
W10 IO_L3P_T0_DQS_33_W10 33
W9 IO_L3N_T0_DQS_33_W9 33
Y8 IO_L4P_T0_33_Y8 33
Y7 IO_L4N_T0_33_Y7 33
Y11 IO_L5P_T0_33_Y11 33
Y10 IO_L5N_T0_33_Y10 33
V9 IO_L6P_T0_33_V9 33
W8 IO_L6N_T0_VREF_33_W8 33
AE7 IO_L7P_T1_33_AE7 33
AF7 IO_L7N_T1_33_AF7 33
AA8 IO_L8P_T1_33_AA8 33
AA7 IO_L8N_T1_33_AA7 33
AC8 IO_L9P_T1_DQS_33_AC8 33
AD8 IO_L9N_T1_DQS_33_AD8 33
AB7 IO_L10P_T1_33_AB7 33
AC7 IO_L10N_T1_33_AC7 33
AA9 IO_L11P_T1_SRCC_33_AA9 33
